100			
0			
5	5	5	
127			
3	1		
4	1	3	
101			
0			
5	5	5	
1			
1	1		
3	1	2	
3	1		
3	1	2	
102			
0			
5	5	5	
2			
1	1		
3	1	2	
5	1		
3	1	2	
103			
0			
6	6	6	
3			
1	2		
3	1	2	
3	2		
2	1	2	
5	2		
3	1	2	
104			
0			
4	4	4	
4			
1	2		
3	1	2	
2	2	3	2
3	1	2	
105			
0			
3	3	3	
5			
2	3	3	3
3	1	2	
5	3		
3	1	2	
106			
0			
4	4	4	
6			
1	3	2	3
3	1	2	
3	3		
3	1	2	
4	3		
3	1	2	
107			
0			
4	4	4	
7			
1	3	2	3
3	1	2	
5	3	6	3
3	1	2	
108			
0			
4	4	4	
8			
2	4		
4	1	3	
3	4	4	4
4	1	3	
6	4		
4	1	3	
109			
0			
3	3	3	
9			
1	4	3	4
4	1	3	
4	4		
4	1	3	
6	4	7	4
4	1	3	
110			
0			
3	3	3	
10			
2	4		
2	1	1	
4	4		
3	1	2	
5	4		
3	1	2	
6	4		
3	1	2	
8	4		
6	1	5	
111			
0			
6	6	6	
11			
1	5		
4	1	3	
4	5		
4	1	3	
5	5	6	5
4	1	3	
7	5	8	5
5	1	4	
112			
0			
8	8	8	
12			
2	5		
4	1	3	
13			
3	5		
4	1	3	
6	5		
4	1	3	
14			
7	5	8	5
6	1	5	
15			
9	5		
7	1	6	
