3	1										
9	1										
2	5										
2	10										
1	1	3	1								
9	1										
0	0										
0	0										
1	1	3	1	4	1						
9	1										
0	0										
0	0										
1	1	3	1	5	1						
9	1										
2	10										
0	0										
1	1	3	1	4	1	5	1				
9	1										
1	10										
0	0										
2	1	5	1								
9	1										
3	90										
0	0										
2	1	4	1	5	1						
9	1										
2	10										
0	0										
1	1	2	1	4	1	6	1				
9	1										
3	90										
3	80										
2	1	3	1	4	1	7	1				
9	1										
4	150										
4	200										
1	1	3	1	4	1	6	1	8	1		
9	1										
1	10										
1	20										
2	1	3	1	4	1	7	1	8	1	9	1
9	1										
3	90										
3	80										
1	1										
9	1										
0	0										
0	0										
